X,Y,Z
-2707023.243430,4688717.797863,3360437.235999
-2707023.135430,4688717.905863,3360437.343998
-2707023.026430,4688718.014863,3360437.452998
-2707021.758201,4688718.074356,3360439.723003
-2707022.796861,4688718.235490,3360437.689977
-2707022.684861,4688718.347490,3360437.801977
-2707022.571861,4688718.460490,3360437.914977
-2707022.457861,4688718.574490,3360438.028977
-2707022.342861,4688718.689490,3360438.143977
-2707022.226861,4688718.805490,3360438.259977
-2707022.109861,4688718.922490,3360438.376976
-2707021.991861,4688719.040490,3360438.494976
-2707021.872861,4688719.159490,3360438.613976
-2707019.519341,4688716.398181,3360445.813852
-2707021.614718,4688719.378376,3360438.909314
-2707021.492718,4688719.500376,3360439.031314
-2707021.369718,4688719.623376,3360439.154314
-2707021.245718,4688719.747376,3360439.278314
-2707021.120718,4688719.872376,3360439.403313
-2707020.994718,4688719.998376,3360439.529313
-2707020.867718,4688720.125376,3360439.656313
-2707020.739718,4688720.253376,3360439.784313
-2707020.610718,4688720.382376,3360439.913312
-2707016.295181,4688720.326124,3360438.052031
-2707020.316619,4688720.641903,3360440.158565
-2707020.184619,4688720.773903,3360440.290565
-2707020.051619,4688720.906903,3360440.423564
-2707019.917619,4688721.040903,3360440.557564
-2707019.782619,4688721.175903,3360440.692564
-2707019.646619,4688721.311903,3360440.828564
-2707019.509619,4688721.448903,3360440.965563
-2707019.371619,4688721.586903,3360441.103563
-2707019.232619,4688721.725903,3360441.242563
-2707021.359122,4688724.784552,3360445.895750
-2707018.969984,4688722.030552,3360441.560131
-2707018.827984,4688722.172552,3360441.702131
-2707018.684984,4688722.315552,3360441.845131
-2707018.540984,4688722.459552,3360441.989130
-2707018.395984,4688722.604551,3360442.134130
-2707018.249984,4688722.750551,3360442.280130
-2707018.102984,4688722.897551,3360442.427130
-2707017.954984,4688723.045551,3360442.575129
-2707017.805984,4688723.194551,3360442.724129
-2707026.020124,4688723.281945,3360442.583784
-2707017.574112,4688723.495034,3360443.022729
-2707017.422112,4688723.647034,3360443.174728
-2707017.269112,4688723.800034,3360443.327728
-2707017.115112,4688723.954034,3360443.481728
-2707016.960112,4688724.109034,3360443.636728
-2707016.804112,4688724.265034,3360443.792727
-2707016.647112,4688724.422034,3360443.949727
-2707016.489112,4688724.580034,3360444.107727
-2707016.330112,4688724.739034,3360444.266726
-2707017.889608,4688720.878111,3360443.772208
-2707016.023555,4688725.026260,3360444.582228
-2707015.861555,4688725.188260,3360444.744228
-2707015.698555,4688725.351260,3360444.907227
-2707015.534555,4688725.515260,3360445.071227
-2707015.369555,4688725.680260,3360445.236227
-2707015.203555,4688725.846260,3360445.402226
-2707015.036555,4688726.013260,3360445.569226
-2707014.868555,4688726.181260,3360445.737226
-2707014.699555,4688726.350260,3360445.906225
-2707018.314053,4688722.584900,3360442.152850
-2707014.390766,4688726.657765,3360446.213832
-2707014.218766,4688726.829765,3360446.385832
-2707014.045766,4688727.002765,3360446.558832
-2707013.871766,4688727.176765,3360446.732831
-2707013.696766,4688727.351765,3360446.907831
-2707013.520766,4688727.527765,3360447.083830
-2707013.343766,4688727.704765,3360447.260830
-2707013.165766,4688727.882765,3360447.438830
-2707012.986766,4688728.061765,3360447.617829
-2707016.024975,4688723.430789,3360440.645176
-2707012.653453,4688728.381375,3360447.917292
-2707012.471453,4688728.563375,3360448.099292
-2707012.288453,4688728.746375,3360448.282291
-2707012.104453,4688728.930375,3360448.466291
-2707011.919453,4688729.115375,3360448.651291
-2707011.733453,4688729.301375,3360448.837290
-2707011.546453,4688729.488375,3360449.024290
-2707011.358453,4688729.676375,3360449.212289
-2707011.169453,4688729.865375,3360449.401289
-2707010.503647,4688728.121488,3360446.606628
-2707010.784323,4688730.229590,3360449.756383
-2707010.592323,4688730.421590,3360449.948383
-2707010.399323,4688730.614590,3360450.141383
-2707010.205323,4688730.808590,3360450.335382
-2707010.010323,4688731.003590,3360450.530382
-2707009.814323,4688731.199590,3360450.726381
-2707009.617323,4688731.396590,3360450.923381
-2707009.419323,4688731.594590,3360451.121381
-2707009.220323,4688731.793590,3360451.320380
-2707008.238906,4688732.193894,3360440.978097
-2707008.812492,4688732.196341,3360451.629220
-2707008.610492,4688732.398341,3360451.831219
-2707008.407492,4688732.601341,3360452.034219
-2707008.203492,4688732.805341,3360452.238218
-2707007.998492,4688733.010341,3360452.443218
-2707007.792492,4688733.216341,3360452.649217
-2707007.585492,4688733.423341,3360452.856217
-2707007.377492,4688733.631341,3360453.064217
-2707007.168492,4688733.840341,3360453.273216
-2707005.255369,4688735.465275,3360455.175489
-2707006.732516,4688734.273783,3360453.709096
-2707006.520516,4688734.485783,3360453.921095
-2707006.307516,4688734.698783,3360454.134095
-2707006.093516,4688734.912783,3360454.348095
-2707005.878516,4688735.127783,3360454.563094
-2707005.662516,4688735.343783,3360454.779094
